PLZ4;Raumtyp_Lage_bez
2138;zentral
2139;zentral
2140;zentral
2142;zentral
2143;zentral
2144;zentral
2146;sehr zentral
2148;peripher
2149;zentral
2150;zentral
2151;zentral
2152;zentral
2161;zentral
2162;zentral
2163;peripher
2164;zentral
2168;peripher
2169;peripher
2170;peripher
2171;peripher
2172;peripher
2173;sehr peripher
2174;sehr peripher
2175;sehr peripher
2176;sehr peripher
2177;sehr peripher
2178;sehr peripher
2204;sehr zentral
2208;sehr zentral
2211;sehr zentral
2214;sehr zentral
2215;sehr zentral
2217;sehr zentral
2229;sehr zentral
2230;sehr zentral
2233;sehr zentral
2235;sehr zentral
2239;sehr zentral
2241;sehr zentral
2245;sehr zentral
2252;sehr zentral
2254;sehr zentral
2255;sehr zentral
2258;sehr zentral
2260;sehr zentral
2276;sehr zentral
2284;sehr zentral
2285;sehr zentral
2286;sehr zentral
2288;sehr zentral
2292;zentral
2294;zentral
2295;zentral
2296;zentral
2355;zentral
2356;zentral
2357;zentral
2361;zentral
2362;zentral
2366;zentral
2368;zentral
2370;peripher
2371;peripher
2373;peripher
2374;peripher
2375;peripher
2376;sehr peripher
2377;peripher
2379;zentral
2381;zentral
2382;zentral
2384;zentral
2385;zentral
2386;zentral
2387;zentral
2388;zentral
2389;zentral
2390;zentral
2391;zentral
2392;zentral
2393;peripher
2394;sehr peripher
2396;peripher
2397;peripher
2399;peripher
2410;zentral
2411;zentral
2414;zentral
2415;peripher
2416;peripher
2421;peripher
2422;zentral
2423;peripher
2424;zentral
2425;peripher
2430;peripher
2432;peripher
2434;peripher
2435;peripher
2436;peripher
2437;sehr peripher
2439;sehr peripher
2440;sehr peripher
2453;zentral
2455;zentral
2456;zentral
2457;zentral
2458;zentral
2459;peripher
2460;peripher
2461;zentral
2462;zentral
2463;zentral
2464;zentral
2476;peripher
2478;peripher
2479;peripher
2480;peripher
2481;peripher
2483;zentral
2484;peripher
2485;peripher
2486;peripher
2487;peripher
2488;peripher
2489;peripher
2493;zentral
2494;peripher
2495;peripher
2496;peripher
2497;sehr peripher
2498;peripher
2499;peripher
2533;zentral
2534;peripher
2535;zentral
2536;zentral
2537;zentral
2542;sehr zentral
2543;zentral
2545;sehr zentral
2546;sehr zentral
2547;sehr zentral
2548;zentral
2549;sehr zentral
2552;zentral
2554;zentral
2555;peripher
2556;peripher
2557;peripher
2558;peripher
2559;peripher
2569;sehr peripher
2570;sehr peripher
2571;sehr peripher
2572;sehr peripher
2574;peripher
2576;sehr peripher
2577;sehr peripher
2578;peripher
2579;peripher
2581;sehr peripher
2582;sehr peripher
2583;sehr peripher
2584;sehr peripher
2585;sehr peripher
2586;sehr peripher
2587;sehr peripher
2588;sehr peripher
2589;sehr peripher
2591;sehr peripher
2592;sehr peripher
2593;sehr peripher
2594;sehr peripher
2598;sehr peripher
2599;sehr peripher
2612;zentral
2613;zentral
2616;peripher
2618;peripher
2619;zentral
2620;zentral
2621;zentral
2631;zentral
2634;peripher
2638;peripher
2640;sehr peripher
2641;peripher
2642;sehr peripher
2643;peripher
2644;peripher
2645;peripher
2646;sehr peripher
2647;sehr peripher
2648;sehr peripher
2650;sehr peripher
2652;sehr peripher
2653;sehr peripher
2654;sehr peripher
2655;sehr peripher
2657;sehr peripher
2660;peripher
2662;peripher
2663;peripher
2665;peripher
2667;peripher
2668;peripher
2672;peripher
2673;peripher
2675;peripher
2678;peripher
2680;peripher
2681;peripher
2682;peripher
2683;peripher
2684;peripher
2687;peripher
2689;peripher
2690;peripher
2691;peripher
2693;peripher
2695;peripher
2696;peripher
2721;peripher
2723;peripher
2724;peripher
2725;peripher
2728;zentral
2729;zentral
2730;peripher
2731;peripher
2732;peripher
2733;peripher
2735;peripher
2736;zentral
2737;peripher
2738;peripher
2740;peripher
2741;peripher
2743;sehr peripher
2744;peripher
2747;peripher
2749;sehr peripher
2756;sehr zentral
2757;zentral
