"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"160",1053040,"Groß Disnack",85,0.631263,3,6,2
"161",1053041,"Groß Grönau",3648,0.631263,3,6,2
"162",1053042,"Groß Pampau",151,0.582946,2,4,2
"163",1053043,"Groß Sarau",949,0.631263,3,6,2
"164",1053044,"Groß Schenkenberg",542,0.615228,3,5,2
"165",1053045,"Grove",254,0.582946,2,4,2
"166",1053046,"Gudow",1633,0.634163,3,6,2
"167",1053047,"Gülzow",1249,0.582946,2,4,2
"168",1053048,"Güster",1250,0.634163,3,6,2
"169",1053049,"Hamfelde",464,0.582946,2,4,2
"170",1053050,"Hamwarde",839,0.570651,2,4,2
"171",1053051,"Harmsdorf",309,0.631263,3,6,2
"172",1053052,"Havekost",182,0.582946,2,4,2
"173",1053053,"Hohenhorn",523,0.570651,2,4,2
"174",1053054,"Hollenbek",423,0.631263,3,6,2
"175",1053056,"Hornbek",185,0.617574,3,5,2
"176",1053057,"Horst",211,0.631263,3,6,2
"177",1053058,"Juliusburg",167,0.633159,3,6,2
"178",1053059,"Kankelau",205,0.582946,2,4,2
"179",1053060,"Kasseburg",590,0.582946,2,4,2
"180",1053061,"Kastorf",1159,0.593819,3,5,2
"181",1053062,"Kittlitz",239,0.631263,3,6,2
"182",1053064,"Klein Pampau",641,0.634163,3,6,2
"183",1053066,"Klein Zecher",251,0.631263,3,6,2
"184",1053067,"Klempau",611,0.593819,3,5,2
"185",1053068,"Klinkrade",608,0.615228,3,5,2
"186",1053069,"Koberg",763,0.615228,3,5,2
"187",1053070,"Köthel",268,0.582946,2,4,2
"188",1053071,"Kollow",577,0.582946,2,4,2
"189",1053072,"Kröppelshagen-Fahrendorf",1259,0.570651,2,4,2
"190",1053073,"Krüzen",353,0.633159,3,6,2
"191",1053074,"Krukow",150,0.633159,3,6,2
"192",1053075,"Krummesse",1771,0.593819,3,5,2
"193",1053076,"Kuddewörde",1364,0.582946,2,4,2
"194",1053077,"Kühsen",365,0.615228,3,5,2
"195",1053078,"Kulpin",216,0.631263,3,6,2
"196",1053079,"Labenz",839,0.615228,3,5,2
"197",1053080,"Langenlehsten",151,0.634163,3,6,2
"198",1053081,"Lankau",466,0.615228,3,5,2
"199",1053082,"Lanze",294,0.633159,3,6,2
"200",1053083,"Lauenburg/ Elbe, Stadt",11277,0.678896,4,7,2
"201",1053084,"Lehmrade",486,0.617574,3,5,2
"202",1053085,"Linau",1203,0.615228,3,5,2
"203",1053086,"Lüchow",279,0.615228,3,5,2
"204",1053087,"Lütau",708,0.633159,3,6,2
"205",1053088,"Mechow",115,0.631263,3,6,2
"206",1053089,"Möhnsen",538,0.582946,2,4,2
"207",1053090,"Mölln, Stadt",18622,0.662469,4,7,2
"208",1053091,"Mühlenrade",174,0.582946,2,4,2
"209",1053092,"Müssen",1038,0.634163,3,6,2
"210",1053093,"Mustin",756,0.631263,3,6,2
"211",1053094,"Niendorf bei Berkenthin",203,0.593819,3,5,2
"212",1053095,"Niendorf/ Stecknitz",641,0.617574,3,5,2
"213",1053096,"Nusse",1045,0.615228,3,5,2
"214",1053097,"Panten",612,0.615228,3,5,2
"215",1053098,"Pogeez",394,0.631263,3,6,2
"216",1053099,"Poggensee",354,0.615228,3,5,2
"217",1053100,"Ratzeburg, Stadt",14104,0.667982,4,7,2
"218",1053101,"Ritzerau",284,0.615228,3,5,2
"219",1053102,"Römnitz",59,0.631263,3,6,2
"220",1053103,"Rondeshagen",830,0.593819,3,5,2
"221",1053104,"Roseburg",520,0.634163,3,6,2
"222",1053106,"Sahms",378,0.582946,2,4,2
"223",1053107,"Salem",588,0.631263,3,6,2
"224",1053108,"Sandesneben",1805,0.615228,3,5,2
"225",1053109,"Schiphorst",617,0.615228,3,5,2
"226",1053110,"Schmilau",551,0.631263,3,6,2
"227",1053111,"Schnakenbek",846,0.633159,3,6,2
"228",1053112,"Schönberg",1371,0.615228,3,5,2
"229",1053113,"Schretstaken",511,0.617574,3,5,2
"230",1053114,"Schürensöhlen",162,0.615228,3,5,2
"231",1053115,"Schulendorf",452,0.634163,3,6,2
"232",1053116,"Schwarzenbek, Stadt",15523,0.621216,3,5,2
"233",1053117,"Seedorf",522,0.631263,3,6,2
"234",1053118,"Siebenbäumen",621,0.615228,3,5,2
"235",1053119,"Siebeneichen",258,0.634163,3,6,2
"236",1053120,"Sierksrade",381,0.593819,3,5,2
"237",1053121,"Sirksfelde",326,0.615228,3,5,2
"238",1053122,"Steinhorst",566,0.615228,3,5,2
"239",1053123,"Sterley",903,0.631263,3,6,2
"240",1053124,"Stubben",372,0.615228,3,5,2
"241",1053125,"Talkau",513,0.617574,3,5,2
"242",1053126,"Tramm",355,0.634163,3,6,2
"243",1053127,"Walksfelde",210,0.615228,3,5,2
"244",1053128,"Wangelau",218,0.633159,3,6,2
"245",1053129,"Wentorf bei Hamburg",12221,0.57832,2,4,2
"246",1053130,"Wentorf (Amt Sandesneben)",707,0.615228,3,5,2
"247",1053131,"Wiershop",180,0.570651,2,4,2
"248",1053132,"Witzeeze",871,0.634163,3,6,2
