"";"JAHR";"PLZ3";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"183";1998;294;0,696702;80491;5;9;3
"184";1998;295;0,546981;89700;4;8;2
"185";1998;296;0,417094;134960;4;7;2
"186";1998;301;0,499477;102971;4;8;2
"187";1998;304;0,499311;145898;4;8;2
"188";1998;305;0,498958;134923;4;8;2
"189";1998;306;0,498843;144652;4;8;2
"190";1998;308;0,412216;189289;4;7;2
"191";1998;309;0,371884;194728;3;6;2
"192";1998;310;0,430559;74508;4;7;2
"193";1998;311;0,454786;220142;4;7;2
"194";1998;312;0,398696;136714;3;6;2
"195";1998;313;0,41052;73831;4;7;2
"196";1998;315;0,388175;173599;3;6;2
"197";1998;316;0,387319;116657;3;6;2
"198";1998;317;0,483844;104681;4;7;2
"199";1998;318;0,437238;119404;4;7;2
"200";1998;320;0,336977;66311;3;5;2
"201";1998;321;0,310928;108528;3;5;2
"202";1998;322;0,279878;71240;2;4;2
"203";1998;323;0,319628;92094;3;5;2
"204";1998;324;0,337931;158638;3;5;2
"205";1998;325;0,308132;88798;3;5;2
"206";1998;326;0,338533;126271;3;6;2
"207";1998;327;0,359479;109744;3;6;2
"208";1998;328;0,381208;63983;3;6;2
"209";1998;330;0,428852;46296;4;7;2
"210";1998;331;0,407542;308924;4;7;2
"211";1998;333;0,201644;174651;2;3;2
"212";1998;334;0,179916;75318;1;2;1
"213";1998;336;0,419423;244397;4;7;2
"214";1998;337;0,317791;157711;3;5;2
"215";1998;338;0,251435;75272;2;4;2
"216";1998;341;0,629682;197837;4;8;2
"217";1998;342;0,315815;168213;3;5;2
"218";1998;343;0,396466;137353;3;6;2
"219";1998;344;0,348622;133702;3;6;2
"220";1998;345;0,323131;116963;3;5;2
"221";1998;346;0,339592;49464;3;6;2
"222";1998;350;0,304052;160359;3;5;2
"223";1998;351;0,224147;34334;2;3;2
"224";1998;352;0,274391;100517;2;4;2
"225";1998;353;0,402448;129339;3;6;2
"226";1998;354;0,312369;155148;3;5;2
"227";1998;355;0,286104;85739;2;4;2
"228";1998;356;0,228719;117143;2;3;2
"229";1998;357;0,271818;129968;2;4;2
"230";1998;360;0,338838;99340;3;6;2
"231";1998;361;0,295185;158052;3;5;2
"232";1998;362;0,374421;100922;3;6;2
"233";1998;363;0,288852;103240;2;4;2
"234";1998;364;0,640433;73281;4;8;2
"235";1998;370;0,62037;118221;4;8;2
"236";1998;371;0,505618;176584;4;8;2
"237";1998;372;0,485763;93415;4;8;2
"238";1998;373;0,655926;101457;4;8;2
"239";1998;374;0,505603;53062;4;8;2
"240";1998;375;0,476263;89145;4;7;2
"241";1998;376;0,421778;110604;4;7;2
"242";1998;381;0,466104;346397;4;7;2
"243";1998;382;0,438246;123887;4;7;2
"244";1998;383;0,459734;128490;4;7;2
"245";1998;384;0,387438;175167;3;6;2
"246";1998;385;0,454578;113001;4;7;2
"247";1998;386;0,597436;95725;4;8;2
"248";1998;387;0,555905;40001;4;8;2
"249";1998;388;0,853166;149160;5;10;3
"250";1998;391;0,931933;285713;5;10;3
"251";1998;392;0,864356;131546;5;10;3
"252";1998;393;0,759765;155792;5;9;3
"253";1998;394;0,961621;48975;5;10;3
"254";1998;395;0,915166;89845;5;10;3
"255";1998;396;0,813967;71538;5;10;3
"256";1998;402;0,348677;120135;3;6;2
"257";1998;404;0,34895;219891;3;6;2
"258";1998;405;0,34834;155381;3;6;2
"259";1998;406;0,288217;207875;2;4;2
"260";1998;407;0,232952;161749;2;3;2
"261";1998;408;0,222165;126961;2;3;2
"262";1998;410;0,530503;75773;4;8;2
"263";1998;411;0,530678;135356;4;8;2
"264";1998;412;0,530671;47422;4;8;2
"265";1998;413;0,317016;149827;3;5;2
"266";1998;414;0,273788;156224;2;4;2
"267";1998;415;0,237405;183472;2;3;2
"268";1998;417;0,383028;75267;3;6;2
"269";1998;418;0,522522;128941;4;8;2
"270";1998;421;0,46894;88872;4;7;2
"271";1998;422;0,468608;85778;4;7;2
"272";1998;423;0,467633;174222;4;7;2
"273";1998;424;0,284374;59851;2;4;2
"274";1998;425;0,245956;107683;2;4;2
"275";1998;426;0,24839;143123;2;4;2
"276";1998;427;0,243691;74989;2;4;2
"277";1998;428;0,318185;109961;3;5;2
"278";1998;429;0,305666;34409;3;5;2
"279";1998;441;0,621099;105833;4;8;2
"280";1998;442;0,619699;187576;4;8;2
"281";1998;443;0,620418;292035;4;8;2
"282";1998;445;0,539624;160163;4;8;2
"283";1998;446;0,576177;155563;4;8;2
"284";1998;447;0,50689;126000;4;8;2
"285";1998;448;0,507724;240324;4;8;2
"286";1998;451;0,505494;181691;4;8;2
"287";1998;452;0,504778;232047;4;8;2
"288";1998;453;0,505854;167071;4;8;2
"289";1998;454;0,335154;169531;3;5;2
"290";1998;455;0,332665;80881;3;5;2
"291";1998;456;0,554526;145096;4;8;2
"292";1998;457;0,52365;248910;4;8;2
"293";1998;458;0,711586;258909;5;9;3
"294";1998;459;0,560211;75018;4;8;2
"295";1998;460;0,553267;58228;4;8;2
"296";1998;461;0,553847;150713;4;8;2
"297";1998;462;0,447506;193706;4;7;2
"298";1998;463;0,368698;155202;3;6;2
"299";1998;464;0,438885;170267;4;7;2
"300";1998;465;0,411403;166464;4;7;2
"301";1998;470;0,545973;76443;4;8;2
"302";1998;471;0,545926;228854;4;8;2
"303";1998;472;0,545317;184903;4;8;2
"304";1998;474;0,433936;173132;4;7;2
"305";1998;475;0,469602;164149;4;7;2
"306";1998;476;0,426813;130785;4;7;2
"307";1998;477;0,497783;8454;4;8;2
"308";1998;478;0,462845;267434;4;7;2
"309";1998;479;0,309795;79559;3;5;2
"310";1998;481;0,408907;308398;4;7;2
"311";1998;482;0,368366;176769;3;6;2
"312";1998;483;0,356843;156730;3;6;2
"313";1998;484;0,417442;185989;4;7;2
"314";1998;485;0,478234;133744;4;7;2
"315";1998;486;0,398553;146412;3;6;2
"316";1998;487;0,377076;81893;3;6;2
"317";1998;490;0,494326;160531;4;8;2
"318";1998;491;0,288074;165084;2;4;2
"319";1998;492;0,290798;34638;2;4;2
"320";1998;493;0,310331;120510;3;5;2
"321";1998;494;0,341312;187678;3;6;2
"322";1998;495;0,37492;157200;3;6;2
"323";1998;496;0,424391;138487;4;7;2
