"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1232",9571177,"Merkendorf, Stadt",2822,0.594543,5,9,3
"1233",9571178,"Mitteleschenbach",1584,0.58516,4,8,2
"1234",9571179,"Mönchsroth",1551,0.584277,4,8,2
"1235",9571180,"Neuendettelsau",7585,0.58837,4,8,2
"1236",9571181,"Neusitz",1985,0.578035,4,8,2
"1237",9571183,"Oberdachstetten",1549,0.599282,5,9,3
"1238",9571188,"Ohrenbach",618,0.578035,4,8,2
"1239",9571189,"Ornbau, Stadt",1609,0.592928,5,9,3
"1240",9571190,"Petersaurach",4800,0.558519,4,7,2
"1241",9571192,"Röckingen",737,0.585278,4,8,2
"1242",9571193,"Rothenburg ob der Tauber, GKSt",10979,0.579149,4,8,2
"1243",9571194,"Rügland",1241,0.584634,4,8,2
"1244",9571196,"Sachsen b.Ansbach",3330,0.58198,4,8,2
"1245",9571198,"Schillingsfürst, Stadt",2739,0.588468,4,8,2
"1246",9571199,"Schnelldorf",3561,0.57165,4,8,2
"1247",9571200,"Schopfloch, Markt",2852,0.58264,4,8,2
"1248",9571205,"Steinsfeld",1200,0.578035,4,8,2
"1249",9571208,"Unterschwaningen",880,0.585278,4,8,2
"1250",9571214,"Wassertrüdingen, Stadt",5926,0.612705,5,9,3
"1251",9571216,"Weidenbach, Markt",2190,0.592928,5,9,3
"1252",9571217,"Weihenzell",2839,0.584634,4,8,2
"1253",9571218,"Weiltingen, Markt",1358,0.584277,4,8,2
"1254",9571222,"Wettringen",982,0.588468,4,8,2
"1255",9571223,"Wieseth",1360,0.573713,4,8,2
"1256",9571224,"Wilburgstetten",2067,0.584277,4,8,2
"1257",9571225,"Windelsbach",1074,0.578035,4,8,2
"1258",9571226,"Windsbach, Stadt",6044,0.591085,5,9,3
"1259",9571227,"Wittelshofen",1231,0.585278,4,8,2
"1260",9571228,"Wörnitz",1763,0.588468,4,8,2
"1261",9571229,"Wolframs-Eschenbach, Stadt",2934,0.58516,4,8,2
"1262",9572111,"Adelsdorf",7433,0.245562,1,1,1
"1263",9572114,"Aurachtal",2960,0.210978,1,1,1
"1264",9572115,"Baiersdorf, Stadt",7400,0.237366,1,1,1
"1265",9572119,"Bubenreuth",4578,0.234279,1,1,1
"1266",9572120,"Buckenhof",3170,0.231484,1,1,1
"1267",9572121,"Eckental, Markt",14131,0.244812,1,1,1
"1268",9572126,"Gremsdorf",1601,0.266357,1,1,1
"1269",9572127,"Großenseebach",2388,0.216995,1,1,1
